vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_l2_ports_2050,passenger_car_dcfc_ports_2050,light_truck_50kw_depot_chargers_2050,bus_150kw_depot_chargers_2050,heavy_truck_150kw_depot_chargers_2050,total_chargers_2050,passenger_car_l2_investment_billion_ntd_2050,passenger_car_dcfc_investment_billion_ntd_2050,light_truck_depot_investment_billion_ntd_2050,bus_depot_investment_billion_ntd_2050,heavy_truck_depot_investment_billion_ntd_2050,total_cumulative_investment_billion_ntd_2050
Conservative,Static,Conservative,0.3,0.1,0.05,0.2,1208568.1650428078,112799.6954039954,84842.72675502284,18878.190684931502,27823.709710616436,1452912.487597374,281.3092579845961,252.9833216397911,179.3071029729102,136.06241403318984,153.77841381308406,1003.4405104435713
Conservative,Static,Reference,0.4,0.18,0.1,0.4,575508.6500203847,48342.72660171232,42421.36337751142,9439.095342465751,13911.854855308218,689623.6901973824,133.764148423141,107.76316531991053,89.6535514864551,55.5547602977085,62.78826506976259,449.5238905969777
Conservative,Static,Optimistic,0.5,0.3,0.2,0.6,287754.32501019235,20142.802750713465,28280.908918340945,6292.730228310501,9274.569903538813,351745.33681109606,66.69818953157052,44.22934692996271,59.76903432430339,28.718875719214715,32.45821548865543,231.87366199370678
Reference,ATB Baseline,Conservative,0.3,0.1,0.05,0.2,1189596.449455185,111029.00194915061,83864.94358168551,17985.639820373675,26508.21944081854,1428984.2542472132,277.07138759883657,249.1598208028615,177.25920958345802,129.71954265259993,146.59162456952004,979.8015852072759
Reference,ATB Baseline,Reference,0.4,0.18,0.1,0.4,566474.4997405645,47583.85797820741,41932.471790842756,8992.819910186838,13254.10972040927,678237.7591402107,131.74611490611272,106.12452210408348,88.62960479172901,52.96494369294126,59.853873845166525,439.31905934003294
Reference,ATB Baseline,Optimistic,0.5,0.3,0.2,0.6,283237.2498702822,19826.607490919756,27954.981193895168,5995.213273457892,8836.073146939512,345850.1249754945,65.68917277305634,43.54657892336812,59.08640319448598,27.380077373055038,30.941290270382027,226.64352253434748
Optimistic,ATB Advanced,Conservative,0.3,0.1,0.05,0.2,863657.0425660587,80607.9906394988,59725.79816111163,11674.51305724925,17003.963297442,1032669.3077213604,206.7291859191214,185.69552328738507,129.26593029280664,88.02044107604503,96.13098919401973,705.8420697693779
Optimistic,ATB Advanced,Reference,0.4,0.18,0.1,0.4,411265.2583647898,34546.28170264235,29862.899080555813,5837.256528624625,8501.981648721,490013.6773253336,98.24982839196258,78.92553745459358,64.63296514640332,35.93905444074691,39.250619649836956,316.9980050835434
Optimistic,ATB Advanced,Optimistic,0.5,0.3,0.2,0.6,205632.62918239494,14394.284042767646,19908.59938703721,3891.504352416417,5667.987765814,249495.00473043023,48.94102951598128,32.21366865274733,43.08864343093555,18.57859222898087,20.290496468442694,163.1124302970877
