scenario,year,cars,scooters,trucks_light,bus,trucks,p05,median,p95
Conservative,2025,0.2550209445875,0.19363523383432538,0.015088479155085226,0.21269157780937498,0.0116281013625,0.6610473235285672,0.6879274090659533,0.7150340096907353
Conservative,2026,0.37790859138499994,0.20927442546523153,0.03629453377944319,0.27430807488875,0.03381887214,0.896717514635207,0.9313719574772961,0.9663777030161484
Conservative,2027,0.5389477953924999,0.2326994917924635,0.06648868110807388,0.35659619076812493,0.06712221269249999,1.2164826888950753,1.2615511227322114,1.307158951337477
Conservative,2028,0.7381385566099999,0.26391043281602117,0.10567092114097729,0.45955592544749996,0.11153812302,1.6200116893084122,1.6783919997680248,1.7374107788959394
Conservative,2029,0.9754808750374998,0.30290724853590467,0.15384125387815342,0.5831872789268749,0.1670666031225,2.1076671581347965,2.1819777983272957,2.2569859943214476
Conservative,2030,1.250974750675,0.3496899389521139,0.2109996793196023,0.72749025120625,0.233707653,2.679175807941075,2.772121318173581,2.8661020138237974
Conservative,2031,1.5836959621274995,0.4081514414128119,0.27714619746532393,0.8717932234856249,0.3114612726525,3.339718406856573,3.451469069184637,3.564624831350697
Conservative,2032,1.973644509395,0.4782917559179985,0.3522808083153182,1.0160961957649999,0.40032746208000003,4.0887749709986965,4.219518706516848,4.352264558953669
Conservative,2033,2.4208203924774994,0.5601108824676737,0.43640351186958526,1.160399168044375,0.5003062212825,4.926162963818985,5.076632597726215,5.230012673715663
Conservative,2034,2.9252236113749994,0.6536088210618377,0.529514308128125,1.3047021403237498,0.61139755026,5.851728362570365,6.02275966743675,6.197034103418952
Conservative,2035,3.4868541660874994,0.7587855717004902,0.6316131970909376,1.449005112603125,0.7336014490125,6.866285351918149,7.057934352533907,7.253313736079884
Conservative,2036,4.124787835219999,0.8739727326629904,0.7541677453117499,1.5933080848824999,0.86691791754,7.996971667342758,8.21083865913252,8.427973677251677
Conservative,2037,4.839024618772499,0.9991703039493378,0.8971779527905626,1.7376110571618748,1.0113469558425001,9.245132403181996,9.48205099276504,9.721891378325191
Conservative,2038,5.629564516745,1.1343782855595326,1.060643819527375,1.8819140294412497,1.1668885639200002,10.609882208306859,10.870263742810788,11.133777280231502
Conservative,2039,6.4964075291375,1.2795966774935752,1.2445653455221877,2.0262170017206245,1.3335427417725,12.09143017519109,12.377214918746382,12.665135582820383
Conservative,2040,7.439553655949999,1.4348254797514648,1.4489425307750001,2.170519974,1.5113094894,13.689837602577288,14.001872762706608,14.316377866889816
Conservative,2041,8.297963693174998,1.5822009650747744,1.6547388602797275,2.273878068,1.695778147665,15.166625508597786,15.501319984304608,15.838478191657297
Conservative,2042,9.11822217319,1.721790575701758,1.8651842032521815,2.3565645431999998,1.8869143477950001,16.58988454711357,16.94509952626735,17.30337103460334
Conservative,2043,9.900329095995,1.8535943116324156,2.0802785596923634,2.4185793996,2.08471808979,17.959692428926665,18.333941582431613,18.711820447994082
Conservative,2044,10.644284461589999,1.977612172866748,2.300021929600273,2.4599226371999996,2.28918937365,19.276831816495463,19.667557060742798,20.061990510142344
Conservative,2045,11.350088269974998,2.093844159404754,2.52441431297591,2.4805942559999994,2.500328199375,20.540270405826725,20.945878528185666,21.35621412617997
Conservative,2046,12.01774052115,2.2022902712464347,2.7534557098192725,2.4805942559999994,2.7181345669650003,21.749991858954346,22.168074529623063,22.593800942889768
Conservative,2047,12.628165436509999,2.2990575710436265,2.987146120130364,2.4805942559999994,2.9426084764200002,22.901280013151563,23.333118101137153,23.77421762665034
Conservative,2048,13.181363016054998,2.38414605879633,3.225485543909182,2.4805942559999994,3.1737499277400003,23.994379411264422,24.440778698014427,24.89621253560305
Conservative,2049,13.677333259785,2.4575557345045445,3.4684739811557277,2.4805942559999994,3.411558920925,25.03004161727801,25.491435668499037,25.959827065930455
Conservative,2050,14.116076167699998,2.5192865981682697,3.7161114318700004,2.4805942559999994,3.656035455975,26.0073543977702,26.484920319049273,26.967572106994066
Reference,2025,0.2550209445875,0.19363523383432538,0.015088479155085226,0.21269157780937498,0.0116281013625,0.6610473235285672,0.6879274090659533,0.7150340096907353
Reference,2026,0.37707167524671975,0.20801877891244014,0.03621798346760343,0.2724258627681029,0.03358681812163273,0.8926673118321475,0.9270758506714809,0.9618504810077476
Reference,2027,0.5365606884680374,0.2299070978909539,0.06620821301866038,0.3517024983552234,0.06620107143666408,1.2058084422492272,1.2502685393274156,1.2952949138270229
Reference,2028,0.7332345130047748,0.2591600450253328,0.10500229632698524,0.45009595894804527,0.10924210887078892,1.599179394513717,1.6563089100298318,1.7141662400398008
Reference,2029,0.9668396776102538,0.2956374745710429,0.15254336191130724,0.5671807189238773,0.1624811779872021,2.071878960024587,2.144173199759096,2.2172706106001834
Reference,2030,1.2371227110377965,0.33919924078355046,0.20877453829035555,0.7025312526600284,0.2256895263490985,2.622767825037358,2.712587849780548,2.8035989422803653
Reference,2031,1.5657383043007038,0.39590689817042746,0.27420949161136293,0.8401917848719268,0.30017118226969197,3.267703891737886,3.3753741083137117,3.484684725476348
Reference,2032,1.950740036599756,0.4639430032404585,0.3485301594060382,0.9772923014895011,0.3850392791511823,3.9982778655974327,4.124478087659071,4.252575729386628
Reference,2033,2.3920822259844083,0.5433075559936434,0.4317351792905818,1.1138328025127513,0.48022912796878325,4.814894618009163,4.959804559829529,5.107493526048151
Reference,2034,2.889719190504117,0.6340005564299824,0.5238231888811936,1.2498132879416777,0.5856760396977083,5.717125310619936,5.88128432132924,6.048841259601693
Reference,2035,3.4436052482083377,0.7360220045494754,0.6247928257940738,1.3852337577762794,0.7013153253131715,6.704979511737616,6.889123487234449,7.07657327036205
Reference,2036,4.072010910814543,0.8477535506831004,0.7459556240317468,1.5230428913812173,0.8286866703608523,7.809593608337417,8.015304429044997,8.223468921603018
Reference,2037,4.775213815597215,0.9691951948308575,0.8873272668802199,1.660826122286451,0.9666555907520498,9.028906323288707,9.25674572200559,9.48723875231124
Reference,2038,5.5531243116591495,1.1003469369927465,1.0489021914611103,1.7985834504919813,1.1152190943908287,10.362260546777438,10.613336498275697,10.866888342122417
Reference,2039,6.405652748103133,1.2412087771687677,1.2306748348960355,1.9363148759978077,1.2743741891812546,11.810440617208577,12.08543225382383,12.362478172996797
Reference,2040,7.332709474031959,1.3917807153589208,1.4326396343066126,2.0740203988039303,1.4441178830273926,13.370916292626086,13.672238056379836,13.976195728781292
Reference,2041,8.177645251261112,1.5347349361225309,1.6360652776458044,2.1723336473197197,1.6200498964319079,14.814943786041189,15.137585576903785,15.462732814815874
