scenario,year,trucks_ICE,trucks_EV,cars_ICE,cars_EV,scooters_ICE,scooters_EV,trucks_light_ICE,trucks_light_EV,bus_ICE,bus_EV,p05,median,p95
Conservative,2025,5.925016992641274,0.0049948756159729,18.45147998620017,0.10954478792130325,5.2178335151784,0.08317642560215362,3.8219968137639686,0.006481288239961417,1.5918640840837674,0.09136211859564014,32.92313626448811,35.30403254360803,37.69475433753082
Conservative,2026,5.88557074027751,0.013988895684954284,18.329660806251983,0.1563187513009941,5.10923814632736,0.08656462862637217,3.8546813116710683,0.015012932568326637,1.545778158481705,0.11346525777897662,32.74695285827614,35.10898770011522,37.48276361811814
Conservative,2027,5.839638890174973,0.026696603117236827,18.159655561703865,0.21435639287426236,4.9881751244356805,0.09255186515417489,3.8797981445743113,0.02644462779352185,1.4858372298019067,0.14182945698866725,32.51628528601425,34.854336006548515,37.20274255128516
Conservative,2028,5.787221442333661,0.042587580808431384,17.941464252555814,0.28183669023917984,4.854644449503361,0.10076650547297693,3.897347312473696,0.04034736080672439,1.4120412980443724,0.17546803353934434,32.2190862166192,34.532780102576545,36.85015125615713
Conservative,2029,5.7283183967535765,0.061131411654148815,17.67508687880783,0.3569386209938184,4.7086461215304,0.1108369198701935,3.9073288153692243,0.05629211849911158,1.3243903632091023,0.21339430474564028,31.86581197007339,34.14031831188893,36.422070278188805
Conservative,2030,5.662929753434717,0.08179767855,17.360523440459904,0.4378411627362499,4.5501801405168,0.12239147863323985,3.9097426532608943,0.07384988776186079,1.2228844252960964,0.2546215879221875,31.441616343167343,33.67460632599388,35.91578095676585
Conservative,2031,5.5910555123770855,0.10580339432005427,16.97368090521208,0.5379815183347116,4.37301267994224,0.1386490446479322,3.904588826148707,0.09414656327897054,1.1213784873830905,0.29614815801806676,30.95566305021327,33.13542855907535,35.32573130133193
Conservative,2032,5.51269567358068,0.13186786600915198,16.514559273064357,0.6501185013947129,4.17714373980672,0.15754930439938866,3.8918673340326624,0.11604129825906581,1.0198725494700847,0.3347020868849909,30.386057080053693,32.505298089710564,34.63586787521117
Conservative,2033,5.427850237045501,0.15964771521124577,15.983158544016726,0.7724837872395701,3.9625733201102404,0.17873138259543467,3.871578176912761,0.13925636063758465,0.9183666115570789,0.37028337452296,29.73305070160849,31.784722930713123,33.8432592195636
Conservative,2034,5.336519202771547,0.18879956352028798,15.379478718069192,0.9033090511925997,3.7293014208528006,0.20183440394389546,3.843721354789002,0.16351401834996498,0.8168606736440729,0.40289202093197396,28.991275631968602,30.967045415066373,32.94786519517173
Conservative,2035,5.2387025707588215,0.21898003253023127,14.703519795221764,1.0408259685771186,3.4773280420344,0.22649749315259632,3.808296867661385,0.18853653933164483,0.7153547357310671,0.4325280261120327,28.160608239105432,30.053353865045672,31.950395396374624
Conservative,2036,5.134400341007321,0.24984574383502803,13.931188743174461,1.1887638541104038,3.20932482359232,0.25187894155347385,3.7556494188008513,0.21735114419884635,0.6138487978180612,0.4591913900631365,27.21778616537725,29.0146301054997,30.80964945371952
Conservative,2037,5.0236125135170475,0.2810533190286308,13.062485561927295,1.3447649415568774,2.9252917655265605,0.27766942746752094,3.685779008207401,0.2493257530804973,0.5123428599050552,0.4828821127852849,26.160680715239167,27.84683105893156,29.531850809534205
Conservative,2038,4.906339088288,0.312259379704992,12.097410251480259,1.506471464680962,2.62522886783712,0.303559629215731,3.598685635881034,0.2838282861055256,0.41083692199204946,0.5036001942784785,24.984307607087697,26.55081029454047,28.113310236520643
Conservative,2039,4.78258006532018,0.34312054745806425,11.03596281183335,1.6715256572470785,2.3091361305240006,0.3292402251190969,3.4943693018217505,0.3202266634028589,0.3093309840790436,0.5213456345427167,23.68417505663897,25.11978645773842,26.54841051310039
Conservative,2040,4.652335444613586,0.37329344388179997,9.878143242986575,1.83756975301965,1.9770135535872007,0.3544018934986118,3.3728300060295497,0.35788880510142507,0.20782504616603767,0.5361184335779999,22.26027125898398,23.54898836673128,24.835377396938807
Conservative,2041,4.544674522149943,0.41088704517922947,8.793956789488046,2.010596602856302,1.7410186924608007,0.38336729383761775,3.1995565728377806,0.4009432258457779,0.13855003077735847,0.5509606558763999,21.02159668250902,22.17459024997624,23.330485844616778
Conservative,2042,4.433122241043038,0.44833084903609205,7.757956400589456,2.166489588349944,1.51749148437504,0.40909744078673765,3.0223688301612577,0.4431677666927184,0.08313001846641506,0.55991973546432,19.814929417590765,20.841442160882885,21.869962244973586
Conservative,2043,4.317678601292869,0.485530843112091,6.7701420762907984,2.305786646457235,1.30643192932992,0.43170211517918955,2.8412667779999805,0.4844968765523514,0.04156500923320752,0.56328714216684,18.644853266250212,19.549427519278137,20.4572733963058
Conservative,2044,4.198343602899435,0.52239301506693,5.8305138165920765,2.429025714134838,1.10784002732544,0.4512910978481919,2.6562504163539487,0.5248650043347823,0.013855003077735843,0.56135434580904,17.50585706881614,18.296910007781687,19.088730834678234
Conservative,2045,4.075117245862736,0.5588233525603125,4.939071621493287,2.536744728339412,0.9217157783616002,0.4679741696269625,2.467319745223164,0.5642065989501158,0.0,0.5544128162159999,16.404612547658846,17.08675735206272,17.769747420979286
Conservative,2046,3.947999530182774,0.594727843251942,4.095815490994433,2.6294816260276193,0.7480591824384002,0.48186111134871984,2.2744747646076258,0.6024561093084569,0.0,0.5427540232127999,15.339115906805924,15.918484052801286,16.501486647696797
Conservative,2047,3.8169904558595475,0.630012474801522,3.3248384573954812,2.703690219956791,0.5931040660761601,0.49222822596044047,2.077715474507333,0.6395479843199109,0.0,0.5310952302096,14.322184063026564,14.80999059921821,15.300490448827855
