Model,Trim,Class,Type,Origin,Fuel,Price,Efficiency,Weight,Engine Displacement,Total Cost,Total Emission
Opel Mokka Electric,Mokka Electric,SUV,BEV,import,electronic,139.9,7.5,1598,,6.206,0.13
Porsche Taycan,Taycan,Sedan,BEV,import,electronic,432,6.6,2090,,18.232,0.156
Porsche Taycan,4S,Sedan,BEV,import,electronic,532,6,2250,,22.366,0.17
Porsche Taycan,Turbo,Sedan,BEV,import,electronic,768,6,2290,,32.055,0.171
Porsche Taycan,Turbo S,Sedan,BEV,import,electronic,925,6,2295,,38.5,0.171
Porsche Taycan Cross Turismo,4,Wagons,BEV,import,electronic,491,5.8,2280,,20.693,0.174
Porsche Taycan Cross Turismo,4S,Wagons,BEV,import,electronic,558,5.8,2280,,23.444,0.174
Porsche Taycan Cross Turismo,Turbo,Wagons,BEV,import,electronic,775,5.7,2320,,32.358,0.177
Škoda Fabia,1.0 TSI Ambition,Hatchback,ICEV,import,gas,84.8,19.2,1192,999,5.304,0.176
Škoda Fabia,1.0 TSI Style,Hatchback,ICEV,import,gas,89.8,19.2,1216,999,5.51,0.177
Škoda Fabia,1.5 TSI Style,Hatchback,ICEV,import,gas,96.8,17.5,1244,1498,6.056,0.192
Škoda Octavia,1.0 TSI e-TEC,Sedan,ICEV,import,gas,109.8,20.4,1341,999,6.273,0.17
Škoda Octavia,1.5 TSI e-TEC,Sedan,ICEV,import,gas,121.8,18.4,1341,1498,7.03,0.186
Škoda Octavia,RS,Sedan,ICEV,import,gas,151.8,14.6,1520,1984,8.803,0.231
Škoda Scala,Kinetic TSI,Hatchback,ICEV,import,gas,98.8,16.4,1229,999,6.047,0.203
Škoda Scala,Elite TSI,Hatchback,ICEV,import,gas,104.8,17,1255,1498,6.417,0.197
Subaru Solterra,Solterra,SUV,BEV,import,electronic,189.9,6,2030,,8.321,0.163
Suzuki Ignis,Ignis,Hatchback,ICEV,import,gas,69.5,22.1,865,1197,4.547,0.15
Suzuki Swift,Swift,Hatchback,ICEV,import,gas,72,22.3,945,1197,4.642,0.15
Suzuki Swift,Swift Sport,Hatchback,ICEV,import,gas,82,19.5,1020,1373,5.338,0.171
Tesla Model S,,Sedan,BEV,import,electronic,294.99,5.6,2089,,12.658,0.172
Tesla Model S,Plaid,Sedan,BEV,import,electronic,344.99,5.2,2183,,14.736,0.183
Tesla Model X,,SUV,BEV,import,electronic,324.99,5.1,2373,,13.922,0.191
Tesla Model X,Plaid ,SUV,BEV,import,electronic,345,5.3,2468,,14.73,0.19
Tesla Model Y,,SUV,BEV,import,electronic,179.99,6.6,1917,,7.886,0.15
Tesla Model Y,Long Gang,SUV,BEV,import,electronic,212.79,6.2,1979,,9.251,0.158
Tesla Model Y,Performance,SUV,BEV,import,electronic,238.79,6,1997,,10.328,0.162
Toyota bZ4X,,SUV,BEV,import,electronic,167,8.2,1900,,7.297,0.132
Toyota Camry,Luxury ,Sedan,HEV,import,gas,98.5,16.2,1510,1987,6.487,0.221
Toyota Camry,Honor ,Sedan,HEV,import,gas,108.5,16.2,1510,1987,6.897,0.221
Toyota Camry,Honor H,Sedan,HEV,import,gas,123,24.6,1600,2487,7.344,0.161
Toyota Corolla Altis,Classic,Sedan,ICEV,domestic,gas,72.5,15.7,1275,1798,5.183,0.212
Toyota Corolla Altis,Honor H,Sedan,HEV,domestic,gas,88.5,25.2,1390,1798,5.386,0.153
Toyota Corolla Altis,Luxury ,Sedan,ICEV,domestic,gas,78,15.6,1280,1798,5.416,0.213
Toyota Corolla Altis,Luxury +,Sedan,ICEV,domestic,gas,79.5,15.6,1280,1798,5.478,0.213
Toyota Corolla Altis,Luxury H,Sedan,HEV,domestic,gas,84.5,24.1,1380,1798,5.256,0.158
Toyota Corolla Altis,GR Sport,Sedan,ICEV,domestic,gas,88.5,14.9,1330,1798,5.904,0.223
Toyota Corolla Altis,GR Sport H,Sedan,HEV,domestic,gas,93,23.6,1405,1798,5.621,0.161
Toyota Corolla Sport,Ultimate,Hatchback,ICEV,import,gas,96.9,16.2,1390,1987,6.421,0.209
Toyota Crown,2.5H,Sedan,HEV,import,gas,157,22.4,1720,2487,8.815,0.176
Toyota Crown,2.4 Turbo H,Sedan,HEV,import,gas,207,15.6,1950,2393,10.986,0.239
Toyota RAV4,2.0 Luxury ,SUV,ICEV,import,gas,101,15.1,1610,1987,6.674,0.226
Toyota RAV4,2.5 H,SUV,ICEV,import,gas,114,22.6,1660,2487,7.043,0.163
Toyota RAV4,2.0 Adventure 4WD,SUV,ICEV,import,gas,128,13.7,1680,1987,7.911,0.247
Toyota RAV4,2.5 H 4WD,SUV,ICEV,import,gas,138,20.1,1755,2487,8.132,0.181
Toyota Vios,Elegance,Sedan,ICEV,domestic,gas,58.9,17.5,1080,1496,4.5,0.189
Toyota Vios,Classic,Sedan,ICEV,domestic,gas,60.9,17,1095,1496,4.614,0.194
Toyota Vios,Luxury ,Sedan,ICEV,domestic,gas,67.5,17,1095,1496,4.885,0.194
Toyota Yaris Cross,Hedonic,SUV,ICEV,domestic,gas,71,17.5,1125,1496,4.997,0.19
Toyota Yaris Cross,Cool motion,SUV,ICEV,domestic,gas,75,17.5,1130,1496,5.161,0.19
Toyota Yaris Cross,Trendy,SUV,ICEV,domestic,gas,82,17.5,1140,1496,5.449,0.19
Toyota Corolla Cross,Luxury ,SUV,ICEV,domestic,gas,85.9,14.5,1325,1798,5.832,0.228
Toyota Corolla Cross,Luxury H,SUV,HEV,domestic,gas,91.5,21.9,1395,1798,5.622,0.171
Toyota Corolla Cross,Honor ,SUV,ICEV,domestic,gas,94,14.5,1330,1798,6.165,0.229
Toyota Corolla Cross,Honor H,SUV,HEV,domestic,gas,97.5,21.9,1400,1798,5.868,0.171
Toyota Corolla Cross,GR Sport,SUV,ICEV,domestic,gas,94,14.7,1340,1798,6.147,0.226
Toyota Corolla Cross,GR Sport H,SUV,HEV,domestic,gas,101,22.2,1420,1798,6,0.169
Volkswagen Golf,230 eTSI,Hatchback,HEV,import,gas,112.8,20.5,1283,999,6.392,0.177
Volkswagen Golf,280 eTSI,Hatchback,HEV,import,gas,128.8,18.5,1351,1498,7.312,0.194
Volkswagen Golf,280 eTSI  R-Line ,Hatchback,HEV,import,gas,139.8,18.5,1351,1498,7.763,0.194
Volkswagen Golf,GTI,Hatchback,HEV,import,gas,175.8,14.2,1451,1984,9.825,0.244
Volkswagen Tiguan,280 TSI Life,SUV,ICEV,import,gas,122.8,14.6,1541,1498,7.338,0.231
Volkswagen T-Roc,280 TSI Life,SUV,ICEV,import,gas,119.8,17.3,1327,1498,7.013,0.196
Volkswagen T-Roc,330 TSI R-Line Performance,SUV,ICEV,import,gas,152.8,12.3,1533,1984,9.086,0.269
Volvo C40 Recharge,Plus Single Motor,SUV,BEV,import,electronic,201,5.6,1998,,8.799,0.169
Volvo C40 Recharge,Ultimate Twin Motor,SUV,BEV,import,electronic,232,5.9,2136,,10.055,0.168
Volvo S60,Plus B4,Sedan,ICEV,import,gas,189,14.8,1677,1969,10.313,0.232
Volvo S60,Ultimate B5,Sedan,ICEV,import,gas,229.2,13.9,1823,1969,12.046,0.247
Volvo XC40 Recharge,Plus Single Motor,SUV,BEV,import,electronic,191,5.9,2006,,8.371,0.164
Volvo XC40 Recharge,Ultimate Twin Motor,SUV,BEV,import,electronic,222,5.5,2145,,9.667,0.176
